0,1,2,3,4
"{'image': 'B_4_M04_OC_CA1_P+_151123_1.tif', 'label': 1, 'volume': 97934.0, 'centroid': (8.817315743255662, 165.75238425878652, 214.0681173034901), 'extent': 0.19991100006532106, 'axis_major': 156.10695149385754, 'bbox': (0, 116, 134, 21, 224, 350)}",,,,
"{'image': 'B_2_M04_OC_L23_P+_031123_2.tif', 'label': 1, 'volume': 24263.0, 'centroid': (1.7909162098668754, 189.0414210938466, 195.676668177884), 'extent': 0.45478912839737584, 'axis_major': 96.50142734684171, 'bbox': (0, 139, 145, 5, 236, 255)}","{'image': 'B_2_M04_OC_L23_P+_031123_2.tif', 'label': 2, 'volume': 46371.0, 'centroid': (13.426581268465204, 183.59806775786592, 185.50190852041146), 'extent': 0.3063400519254018, 'axis_major': 107.704589541122, 'bbox': (9, 110, 125, 18, 249, 246)}",,,
"{'image': 'C_2_M04_OC_DGM_P+_161123_1.tif', 'label': 1, 'volume': 609.0, 'centroid': (0.0, 197.5024630541872, 168.26600985221674), 'extent': 0.3147286821705426, 'axis_major': 52.06511618060905, 'bbox': (0, 174, 147, 1, 219, 190)}","{'image': 'C_2_M04_OC_DGM_P+_161123_1.tif', 'label': 2, 'volume': 163198.0, 'centroid': (12.822920624027255, 204.45784874814643, 202.83013884974082), 'extent': 0.17566305003013863, 'axis_major': 167.93826685422175, 'bbox': (0, 125, 114, 30, 283, 310)}","{'image': 'C_2_M04_OC_DGM_P+_161123_1.tif', 'label': 3, 'volume': 1597.0, 'centroid': (29.0, 255.78647463994992, 243.31120851596745), 'extent': 0.4874847374847375, 'axis_major': 75.76658966382344, 'bbox': (29, 234, 205, 30, 276, 283)}",,
"{'image': 'D_3_M04_OC_L4_P+_221123_1.tif', 'label': 1, 'volume': 641515.0, 'centroid': (14.032566658612815, 222.0381066693686, 199.28611645869543), 'extent': 0.38588111169658607, 'axis_major': 212.61492727381946, 'bbox': (0, 94, 89, 31, 340, 307)}",,,,
"{'image': 'C_2_M04_OC_L4_P+_161123_1.tif', 'label': 1, 'volume': 255539.0, 'centroid': (10.72459389760467, 195.439760662756, 194.18173351230146), 'extent': 0.3089204545454545, 'axis_major': 169.30273282721805, 'bbox': (0, 101, 97, 22, 289, 297)}",,,,
"{'image': 'D_4_M04_OC_CA1_P+_221123_1.tif', 'label': 1, 'volume': 179689.0, 'centroid': (10.169865712425358, 197.216768973059, 212.41172247605584), 'extent': 0.27041518872283077, 'axis_major': 143.2225214346474, 'bbox': (0, 93, 135, 23, 266, 302)}",,,,
"{'image': 'B_2_M04_OC_L23_P+_031123_1.tif', 'label': 1, 'volume': 741616.0, 'centroid': (15.32835186943108, 148.1457533278678, 182.92718334016527), 'extent': 0.24777769981991735, 'axis_major': 221.37089145392235, 'bbox': (0, 20, 47, 38, 287, 342)}",,,,
"{'image': 'F_2_M04_OC_L4_P+_231123_1.tif', 'label': 1, 'volume': 66062.0, 'centroid': (8.298219854076473, 205.99049377857165, 194.221231570343), 'extent': 0.30581569213819154, 'axis_major': 105.23227584168968, 'bbox': (0, 157, 127, 17, 254, 258)}",,,,
"{'image': 'B_1_M04_OC_L1_P+_021123_1.tif', 'label': 1, 'volume': 240944.0, 'centroid': (10.522237532372667, 137.8608099807424, 268.52035742745204), 'extent': 0.15261095051215723, 'axis_major': 180.88153645914687, 'bbox': (0, 0, 146, 23, 262, 408)}",,,,
"{'image': 'D_3_M04_OC_L23_P+_221123_1.tif', 'label': 1, 'volume': 988257.0, 'centroid': (12.075446973813492, 207.6551362651618, 201.08805503021986), 'extent': 0.4786072663521982, 'axis_major': 271.9861365843525, 'bbox': (0, 85, 45, 28, 330, 346)}",,,,
"{'image': 'F_3_M04_OC_L1_P+_231123_1.tif', 'label': 1, 'volume': 631033.0, 'centroid': (17.521051989357133, 213.17151400956843, 189.36919463799833), 'extent': 0.3021407298878642, 'axis_major': 218.9236399404893, 'bbox': (0, 51, 69, 36, 334, 274)}",,,,
"{'image': 'A_4_M04_OC_P+_DGG_011123_1.tif', 'label': 1, 'volume': 21764.0, 'centroid': (1.2771549347546407, 165.7320804999081, 183.56345340929977), 'extent': 0.36674923748378074, 'axis_major': 133.44519213676315, 'bbox': (0, 83, 119, 3, 234, 250)}","{'image': 'A_4_M04_OC_P+_DGG_011123_1.tif', 'label': 2, 'volume': 25761.0, 'centroid': (4.6825821978960445, 348.9107953883778, 258.51977795893015), 'extent': 0.34222062808863385, 'axis_major': 156.73190193180747, 'bbox': (3, 285, 188, 7, 408, 341)}","{'image': 'A_4_M04_OC_P+_DGG_011123_1.tif', 'label': 3, 'volume': 64996.0, 'centroid': (10.71798264508585, 160.1412394608899, 175.6810726813958), 'extent': 0.1429363124560169, 'axis_major': 181.8615797588696, 'bbox': (8, 45, 21, 16, 248, 301)}",,
"{'image': 'C_2_M04_OC_L4_P+_161123_2.tif', 'label': 1, 'volume': 373218.0, 'centroid': (14.2401840211351, 164.7176154419133, 205.07872074765953), 'extent': 0.32491485760849126, 'axis_major': 189.250736942998, 'bbox': (0, 94, 85, 33, 246, 314)}","{'image': 'C_2_M04_OC_L4_P+_161123_2.tif', 'label': 2, 'volume': 3854.0, 'centroid': (24.494810586403737, 75.85599377270368, 244.46133886870783), 'extent': 0.45171120487576183, 'axis_major': 70.15015324268882, 'bbox': (24, 50, 202, 26, 104, 281)}",,,
"{'image': 'B_2_M04_OC_CA1_P+_031123_1.tif', 'label': 1, 'volume': 413727.0, 'centroid': (13.70748102009296, 191.80862742823166, 243.89865055942687), 'extent': 0.1972992228720543, 'axis_major': 256.5587228432127, 'bbox': (0, 20, 101, 26, 306, 383)}",,,,
"{'image': 'D_4_M04_OC_L23_P+_221123_1.tif', 'label': 1, 'volume': 212249.0, 'centroid': (7.06035835268953, 232.4788102653016, 219.46835556351266), 'extent': 0.3083687831979265, 'axis_major': 230.81231094738013, 'bbox': (0, 128, 92, 14, 332, 333)}",,,,
"{'image': 'D_3_M04_OC_CA1_P+_221123_1.tif', 'label': 1, 'volume': 118754.0, 'centroid': (8.633671286861917, 205.2138033245196, 196.69509237583577), 'extent': 0.35548916655191615, 'axis_major': 120.6650979223883, 'bbox': (0, 150, 117, 19, 268, 266)}","{'image': 'D_3_M04_OC_CA1_P+_221123_1.tif', 'label': 2, 'volume': 1633.0, 'centroid': (0.0, 318.96448254745866, 94.11267605633803), 'extent': 0.44182900432900435, 'axis_major': 68.23963685288285, 'bbox': (0, 296, 54, 1, 344, 131)}","{'image': 'D_3_M04_OC_CA1_P+_221123_1.tif', 'label': 3, 'volume': 1355.0, 'centroid': (10.0, 318.18154981549816, 95.99557195571956), 'extent': 0.48152096659559346, 'axis_major': 62.95586153462047, 'bbox': (10, 296, 62, 11, 338, 129)}",,
"{'image': 'D_4_M04_OC_L4_P+_221123_1.tif', 'label': 1, 'volume': 16963.0, 'centroid': (1.941814537522844, 187.9954607086011, 218.53174556387432), 'extent': 0.4133284600389864, 'axis_major': 88.36123522371476, 'bbox': (0, 150, 179, 6, 226, 269)}","{'image': 'D_4_M04_OC_L4_P+_221123_1.tif', 'label': 2, 'volume': 21229.0, 'centroid': (13.210231287389892, 196.7747420980734, 212.34872108907626), 'extent': 0.331703125, 'axis_major': 104.78475916993534, 'bbox': (11, 144, 139, 16, 244, 267)}",,,
